Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_Other,VisitorType_Returning_Visitor,TotalDuration,BounceExitRatio,ProductBrowsingIntensity
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.9950248756218906,1000.0
0,0.0,0,0.0,2,64.0,0.0,0.1,0.0,0.0,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,64.0,0.0,0.031249511726379273
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,4,1,9,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.9950248756218906,1000.0
0,0.0,0,0.0,2,2.666666667,0.05,0.14,0.0,0.0,3,2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,2.666666667,0.35460992907801414,0.7497188553355344
0,0.0,0,0.0,10,627.5,0.02,0.05,0.0,0.0,3,3,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,627.5,0.39215686274509803,0.015936229583697874
0,0.0,0,0.0,19,154.2166667,0.015789474,0.024561404,0.0,0.0,2,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,154.2166667,0.617707618877273,0.12320248650215118
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,2,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.9950248756218906,1000.0
1,0.0,0,0.0,0,0.0,0.2,0.2,0.0,0.0,1,2,1,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.9950248756218906,0.0
0,0.0,0,0.0,2,37.0,0.0,0.1,0.0,0.8,2,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,37.0,0.0,0.054052593173157484
0,0.0,0,0.0,3,738.0,0.0,0.022222222,0.0,0.4,2,4,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,738.0,0.0,0.004065035142228805
0,0.0,0,0.0,3,395.0,0.0,0.066666667,0.0,0.0,1,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,395.0,0.0,0.007594917481221567
0,0.0,0,0.0,16,407.75,0.01875,0.025833333,0.0,0.4,1,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,407.75,0.698757772655376,0.03923963399231394
0,0.0,0,0.0,7,280.5,0.0,0.028571429,0.0,0.0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,280.5,0.0,0.02495534775277094
0,0.0,0,0.0,6,98.0,0.0,0.066666667,0.0,0.0,2,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,98.0,0.0,0.0612238650626014
0,0.0,0,0.0,2,68.0,0.0,0.1,0.0,0.0,3,2,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,68.0,0.0,0.029411332186291377
2,53.0,0,0.0,23,1668.285119,0.008333333,0.016312636,0.0,0.0,1,1,9,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1721.285119,0.48134397326900424,0.013786603951237457
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,1,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.9950248756218906,1000.0
0,0.0,0,0.0,13,334.9666667,0.0,0.007692308,0.0,0.0,1,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,334.9666667,0.0,0.03880971595877317
0,0.0,0,0.0,2,32.0,0.0,0.1,0.0,0.0,2,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,32.0,0.0,0.06249804693603325
0,0.0,0,0.0,20,2981.166667,0.0,0.01,0.0,0.0,2,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,1,2981.166667,0.0,0.006708780663828392
0,0.0,0,0.0,8,136.1666667,0.0,0.008333333,0.0,1.0,2,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,1,136.1666667,0.0,0.05875109850876221
